上榜日期,证券号码,证券简称,上榜涨幅,买入额（万）,卖出额（万）,净买入（万）,所属营业部,游资名称
2025-09-12,920100,三协电机,-9.93%,1399.67万,878万,521.66万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-09-12,603370,华新精科,-4.47%,454.59万,0,454.59万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-09-12,301139,元道通信,0.60%,759.77万,697.56万,62.2万,东方财富证券股份有限公司拉萨团结路第二证券营业部,T王
2025-09-12,603511,爱慕股份,-9.96%,345.97万,0,345.97万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,603370,华新精科,-4.47%,404.24万,0,404.24万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,601929,吉视传媒,8.32%,0,5794.26万,-5794.26万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,600173,卧龙新能,-8.29%,0,1161.7万,-1161.7万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,002809,红墙股份,9.10%,262.24万,444.67万,-182.42万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,002642,荣联科技,1.20%,1995.17万,1697.98万,297.19万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,000981,山子高科,9.92%,3454.35万,4846.27万,-1391.91万,东方财富证券股份有限公司拉萨团结路第一证券营业部,T王
2025-09-12,603511,爱慕股份,-9.96%,356.04万,0,356.04万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,603370,华新精科,-4.47%,471.63万,0,471.63万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,600173,卧龙新能,-8.29%,970.15万,0,970.15万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,301488,豪恩汽电,8.22%,973.91万,1393.02万,-419.1万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,300457,赢合科技,20.01%,1415.75万,1790.65万,-374.9万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,300139,晓程科技,3.65%,2998.64万,1471.65万,1526.98万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,002716,湖南白银,9.98%,663.19万,1652.92万,-989.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,002642,荣联科技,1.20%,1977.72万,1031.99万,945.73万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,002115,三维通信,-4.72%,4382.88万,3969.22万,413.66万,东方财富证券股份有限公司拉萨东环路第二证券营业部,T王
2025-09-12,603370,华新精科,-4.47%,416.99万,0,416.99万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-09-12,301488,豪恩汽电,8.22%,1028.96万,1450.06万,-421.1万,东方财富证券股份有限公司拉萨东环路第一证券营业部,T王
2025-09-12,603511,爱慕股份,-9.96%,398.28万,0,398.28万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-09-12,300457,赢合科技,20.01%,2038.65万,1943.3万,95.35万,东方财富证券股份有限公司山南香曲东路证券营业部,T王
2025-09-12,688627,精智达,20.00%,0,3009.71万,-3009.71万,华泰证券股份有限公司南京中华路证券营业部,苏南帮
2025-09-12,600162,香江控股,10.11%,1175.84万,0,1175.84万,中信证券股份有限公司杭州凤起路证券营业部,N周二
2025-09-12,600103,青山纸业,10.00%,0,3800.39万,-3800.39万,中信证券股份有限公司杭州凤起路证券营业部,N周二
2025-09-12,002759,天际股份,0.51%,4076.95万,1540.07万,2536.87万,中信证券股份有限公司杭州凤起路证券营业部,N周二
2025-09-12,603285,键邦股份,1.60%,0,769.86万,-769.86万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-09-12,600475,华光环能,-10.02%,1638.65万,0,1638.65万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-09-12,600173,卧龙新能,-8.29%,1268.45万,0,1268.45万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-09-12,301139,元道通信,0.60%,1130.8万,9.49万,1121.31万,中国银河证券股份有限公司北京中关村大街证券营业部,竞价抢筹
2025-09-12,688593,新相微,12.71%,3263.75万,0,3263.75万,中信证券股份有限公司上海分公司,孙哥
2025-09-12,688028,沃尔德,15.36%,2863.21万,0,2863.21万,中信证券股份有限公司上海分公司,孙哥
